State,Constituency,Candidate,Party,Votes
Maharashtra,Chandrapur,NITIN VASANT POHANE,Lok Bharati,3772
Maharashtra,Chandrapur,PANKAJKUMAR SHARMA,All India Trinamool Congress,3216
Maharashtra,Chandrapur,GHAYWAN ROSHAN JAMBUWANTRAO,Republican Paksha (Khoripa),2736
Maharashtra,Chandrapur,ATUL ASHOK MUNGINWAR,Independent,2693
Maharashtra,Chandrapur,SIDDHARTH RAUT,Prabuddha Republican Party,2188
Maharashtra,Chandrapur,SANJAY NILKANTH GAWANDE,Independent,2167
Maharashtra,Chandrapur,None of the Above,None of the Above,8257
Maharashtra,Beed,MUNDE GOPINATHRAO PANDURANG,Bharatiya Janata Party,635995
Maharashtra,Beed,DHAS SURESH RAMCHANDRA,Nationalist Congress Party,499541
Maharashtra,Beed,ROTHOD DIGAMBAR RAMRAO,Bahujan Samaj Party,14166
Maharashtra,Beed,SOLANKE PRKASH BHAGWANRAO,Independent,8634
Maharashtra,Beed,ASHOK DHONDIBA SONWANE,Independent,5383
Maharashtra,Beed,TEJAS ANKUSH GHUMARE,Independent,5357
Maharashtra,Beed,NADU MADHAV,Aam Aadmi Party,4283
Maharashtra,Beed,ARJUN HANMANTA NIMBALKAR,Independent,3758
Maharashtra,Beed,SAYYED NAVIDUJJAMMA,Independent,3732
Maharashtra,Beed,SAYYED MINHAJ ALI SAYYAD WAJED ALI (PENDKHAJURWALE),Independent,3617
Maharashtra,Beed,ASHOK BHAGOJI THORAT,Independent,3264
Maharashtra,Beed,AGHAV JAYPRAKASH SITARAM,Independent,3247
Maharashtra,Beed,KALE KRISHNA BHANUDAS,Bharipa Bahujan Mahasangh,3163
Maharashtra,Beed,INAMDAR JABBERMIYA DAGERASA,Independent,3040
Maharashtra,Beed,AVINASH NAMDEV WANKHEDE,Independent,2797
Maharashtra,Beed,BHAGWAT HARIHAR TAWARE,Independent,2698
Maharashtra,Beed,SADULLA ASDULLA INAMDAR,Independent,2482
Maharashtra,Beed,DONGARE MILIND KASHINATH,Prabuddha Republican Party,1930
Maharashtra,Beed,SHAIKH CHAND SHIAKH MIYA,Independent,1734
Maharashtra,Beed,RAHUL PRABHAKAR KAMBLE,Ambedkarite Party of India,1733
Maharashtra,Beed,SHAIKH IPTEKHAR ZAKEEBABA,Welfare Party Of India,1628
Maharashtra,Beed,MANIKRAO MADHAVRAO BAVNE,Samajwadi Party,1584
Maharashtra,Beed,SAKSAMUDRE BHAGWAN KACHRUBA,Bahujan Mukti Party,1533
Maharashtra,Beed,JETHLIA SANTOSHBAPU MITTHULAL,Independent,1270
Maharashtra,Beed,HOKE (PATIL)RAJEDRA ACHYUTRAO,Independent,1264
Maharashtra,Beed,TATE ASHOK SANTRAM,Ambedkarist Republican Party,1162
Maharashtra,Beed,SAYYED MUBIN RAHIMTULLA,Independent,1122
Maharashtra,Beed,DR. OWHAL JITENDRA MAHADEV,Independent,1075
Maharashtra,Beed,THORAT DHANRAJ VITTHAL,Maharashtra Parivartan Sena (T),1065
Maharashtra,Beed,PRASHANT VISHNU SASANE,Independent,1036
Maharashtra,Beed,KALE BAJIRAO SHANKAR,Independent,1018
Maharashtra,Beed,SHINGARE GOVIND BHARAT,Shivrajya Party,944
Maharashtra,Beed,SHRIKANT VISHNU GADALE,Independent,931
Maharashtra,Beed,GANGADHAR SITARAM KALKUTE,Independent,848
Maharashtra,Beed,SHAIKH SHAFIQ SHABBIR,Independent,846
Maharashtra,Beed,VEER SHESHERAO CHOKHOBA,Independent,713
Maharashtra,Beed,SOLANKE PARMESHWAR KALYANRAO,Independent,520
Maharashtra,Beed,SAYYED SALIM FATTU,Independent,452
Maharashtra,Beed,SUMITRABAI DASHRATH PAWAR,Independent,314
Maharashtra,Beed,None of the Above,None of the Above,2323
Maharashtra,Hingoli,RAJEEV SHANKARRAO SATAV,Indian National Congress,467397
Maharashtra,Hingoli,WANKHEDE SUBHASH BAPURAO,Shivsena,465765
Maharashtra,Hingoli,JADHAV CHUNNILAL MOHAN,Bahujan Samaj Party,25145
Maharashtra,Hingoli,D.B.NAIK,Communist Party of India (Marxist),14986
Maharashtra,Hingoli,UTTAMRAO PANDURANG RATHOD,Bahujan Mukti Party,9770
Maharashtra,Hingoli,RAMRAO HARISING RATHOD,Bharipa Bahujan Mahasangh,9577
Maharashtra,Hingoli,DHABE UTTAM MAROTI,Independent,7878
Maharashtra,Hingoli,WANKHEDE SUBHASH NAGORAO,Janata Dal (United),6284
Maharashtra,Hingoli,WANKHEDE SUBHASH,Independent,6157
Maharashtra,Hingoli,SATAV ATMARAM RAGHOJI,Independent,5000
Maharashtra,Hingoli,PRINCIPAL DR.VITHAL NAMDEORAO KADAM,Aam Aadmi Party,3729
Maharashtra,Hingoli,SATAV RAJU SHANKAR,Independent,3522
Maharashtra,Hingoli,DEVJI GANGARAM ASOLE,Independent,3165
Maharashtra,Hingoli,SHAIKH NAYEEM SHAIKH LAL,Samajwadi Party,2514
Maharashtra,Hingoli,BHAROSE ANANT RAMRAO,Independent,2506
Maharashtra,Hingoli,GHUNNAR PRAKASH VITTHALRAO,Independent,2497
Maharashtra,Hingoli,DESHMUKH BALASAHEB DESAI,Independent,2154
Maharashtra,Hingoli,UTTAM RATHOD,Independent,2147
Maharashtra,Hingoli,NAIKWADE DIGAMBAR GUNAJI,Independent,2049
Maharashtra,Hingoli,DESAI PANDURANG DEVRAO,Janata Dal (Secular),1675
Maharashtra,Hingoli,SANTOSH NAMDEORAO SAGNE,Awami Vikas Party,1526
Maharashtra,Hingoli,SURAJ VISHWANATH KONDARWAD,Independent,1322
Maharashtra,Hingoli,SURYAWANSHI ASHOK BHAGWANRAO,Independent,1292
Maharashtra,Hingoli,None of the Above,None of the Above,3107
Maharashtra,Nanded,ASHOK SHANKARRAO CHAVAN,Indian National Congress,493075
Maharashtra,Nanded,D. B. PATIL,Bharatiya Janata Party,411620
Maharashtra,Nanded,RAJRATNA AMBEDKAR,Bahujan Mukti Party,28447
Maharashtra,Nanded,DR. HANSRAJ DADARAOJI VAIDYA,Bahujan Samaj Party,22809
Maharashtra,Nanded,FEROZ KHAN GAZI,Independent,8088
Maharashtra,Nanded,PANJABRAO SHRIHARI WADJE PATIL,Independent,5825
Maharashtra,Nanded,BOCHARE SHANKAR MAHADJI,Independent,5694
Maharashtra,Nanded,MOHD. MAROOF AB. RAUF,Independent,4771
Maharashtra,Nanded,RAMCHANDRA GYANOBA SAWANT,Bharipa Bahujan Mahasangh,4206
Maharashtra,Nanded,GRANTHI NARENDRASINGH ANMOLSINGH,Aam Aadmi Party,3397
Maharashtra,Nanded,RAMCHANDRA GANGARAM BHARANDE,Independent,3067
Maharashtra,Nanded,DATTARAM BALAJI SURWANSHI,Independent,2882
Maharashtra,Nanded,PATHAN ZAFAR ALIKHAN MEHMOOD ALIKHAN,Independent,1993
Maharashtra,Nanded,GHUNNAR PRAKASH VITHALRAO,Independent,1753
Maharashtra,Nanded,SHINDE BALAJI VISHWANATHRAO,Samajwadi Party,1724
Maharashtra,Nanded,SONTAKKE LAXMAN KISHAN,Independent,1667
Maharashtra,Nanded,ALTAF AHMED IQBAL AHMED,Indian Union Muslim League,1547
Maharashtra,Nanded,HANMANTE VIJAY CHANDRAO,Independent,1479
Maharashtra,Nanded,ADV. DHONDOPANT NAGORAO HANUMANTE,Independent,1473
Maharashtra,Nanded,SAYYED TANVEER SAYYADHAMAJA,Majlis Bachao Tahreek,1288
Maharashtra,Nanded,ADV. DEELIP PRABHAKARRAO KULKARNI (PHULWALKAR),Independent,1285
Maharashtra,Nanded,SHAIKH AFZALUDDIN AZEEMUDDIN,Lok Bharati,1065
Maharashtra,Nanded,VENUGOPAL SHASTRI TUMULURI S/O RAMKRISHNA,Independent,1040
Maharashtra,Nanded,None of the Above,None of the Above,3155
